Department,Faculty,Sponsor,Title
Mathematics,Maria Pia Gualdani,National Science Foundation-LOC,CAREER: Nonlocal Partial Differential Equations  in Collisional Kinetic Theory
Mathematics,Jozef Przytycki,National Science Foundation-LOC,Knots in Washington : A Conference Series on Knot Theory and its Ramifications
Mathematics,Yongwu Rong,National Institute of Standards and Technology,SURF Gaithersburg
Mathematics,Zhao Yanxiang,Simons Foundation,A phase model on cell migration
Midge Smith Center For Evaluation Effectiveness in SPP &amp; PA,Ann Doucette,Department of Transportation,Countermeasures to Reduce Suicides on Railway Rights-of-Way
Museum Studies,Kym Rice,National Park Services,Preservation and Analysis of National Park Service Museum Collections-National Capital Region Museum
Physics,William Briscoe,Department of Energy,A Data Analysis Center for Hadronic and Electromagnetic Interactions
Physics,Evangeline Downie,National Science Foundation-LOC,Collaborative Research: Equipment for and Running of the PSI MUSE Experiment
Physics,Harald Griesshammer,Department of Energy,Effective Field Theories of Nuclear Physics
Physics,Alexander van der Horst,NASA Shared Services Center,Nustar Observations of the Magnetar SGR 1806-20
Physics,Oleg Kargaltsev,Space Telescope Science Institue,The intermediate-age cluster GLIMPSE-C01
Physics,Oleg Kargaltsev,NASA - Goddard - LOC,Detailed Study of PSR B0656+14
Physics,Chryssa Kouveliotou,Space Telescope Science Institute,HST NIR observations of the currently active magnetar SGR 1935+2154
Physics,George Younes,NASA/Goddard Sapce Flight Center,FERMI GBM VIEW OF THE MAGNETARS PERSISTENT HARD X-RAY EMISSION
Psychology,Kathleen Carrick,Gilead Sciences Incorporated,Gilead Patient Community Support Awards
Psychology,Stephen Mitroff,US Army Research Development &amp; Engineering Command,Examining learning and influences on performance in visual search
Psychology,Sarah Shomstein,National Science Foundation-LOC,Semantic guidance of attentional selection: determining how attentional allocation is structured in the face of uncertainty
Public Administration,Susan Dudley,Department of Agriculture,Comparative Evaluation of US and EU Regulatory Effects on Agriculture
Public Administration,Susan Dudley,Charles Koch Foundation,Support for Regulatory Studies Center
School of Media &amp; Public Affairs,Jason Osder,Cinereach LTD.,Cinereach Odeh Documentary 2016
Statistics,Efstathia Bura,Simons Foundation,Sufficient Dimension Reduction Methodology
Statistics,Feifang Hu,National Science Foundation-LOC,New Covariate-Adjusted Response-Adaptive Designs and Associated Methods for Statistical Inference
